TEACHER,Karla,Torres,Chavez,2023630627,karla.torres@ittepic.edu.mx
TEACHER,Elena,Torres,Chavez,1998630022,elena.torres@yahoo.com
STUDENT,Luis,Gonzalez,Ramirez,1995630277,luis.gonzalez@ittepic.edu.mx
TEACHER,Sergio,Morales,Flores,1999630615,sergio.morales@gmail.com
STUDENT,Jorge,Cruz,Jimenez,1998630149,jorge.cruz@ittepic.edu.mx
TEACHER,Eduardo,Aguilar,Castillo,2004630352,eduardo.aguilar@hotmail.com
STUDENT,Andres,Castillo,Gutierrez,2011630950,andres.castillo@hotmail.com
STUDENT,Ricardo,Martinez,Gonzalez,2001630813,ricardo.martinez@hotmail.com
STUDENT,Alejandra,Gomez,Silva,2011630694,alejandra.gomez@ittepic.edu.mx
STUDENT,Elena,Silva,Ramirez,1998630419,elena.silva@outlook.com
